V 29.8013   12.2224   16.0106
V 26.1125   9.2042   16.0062
V 30.3115   2.13126   7.36929
V 13.5835   13.2052   7.48698
V 27.6731   8.35206   20.0104
V 8.00469   9.9172   1.36803
V 27.8268   13.6164   11.2441
V 21.6702   15.4602   11.1845
V 26.7997   7.88651   13.3142
V 10.008   10.9908   8.96464
V 7.17057   20.3403   11.8207
V 1.53274   4.29122   13.5782
V 26.6961   11.9312   14.6425
V 13.4248   19.5381   3.43226
V 33.4854   7.25185   5.14903
V 10.1995   4.60571   11.2868
V 39.9103   1.08654   11.2512
V 24.0473   17.6643   9.71466
V 4.22141   7.38626   0.629945
V 15.3902   13.3033   1.30389
V 40.0288   5.54441   9.24873
V 23.6602   14.3259   5.38093
V 25.5358   7.25894   7.49123
V 31.8055   1.44004   10.2118
V 21.8271   11.5463   15.4534
V 38.0662   11.3455   15.3954
V 29.8907   18.9061   7.2026
V 17.4173   10.0846   17.3908
V 33.3595   15.3006   1.42602
V 25.4417   16.8778   2.87068
V 28.7395   18.6341   9.89883
V 34.3203   9.64348   4.09156
V 22.4582   10.1856   7.94995
V 37.52   3.15601   11.6909
V 28.322   5.3831   17.4408
V 32.4769   16.0233   8.2202
V 8.31221   3.22795   20.0352
V 3.94553   14.8419   7.2529
V 18.4531   14.3191   3.67054
V 26.3721   10.6195   8.35734
V 27.5614   4.61635   12.9272
V 7.18884   11.5466   11.3116
V 19.0638   7.19934   8.73043
V 30.2787   6.28468   12.0573
V 2.55133   7.37298   13.4102
V 6.9998   3.30441   11.7458
V 31.751   10.635   18.0311
V 16.0046   10.5782   5.91012
V 26.4504   9.6754   3.65202
V 34.9323   13.9637   8.15794
V 35.8867   4.45146   3.90574
V 38.7801   7.95024   6.14008
V 1.9912   1.36829   11.5288
V 24.0619   7.81024   12.1383
V 28.3081   16.4416   20.3918
V 30.9621   18.3643   16.3506
V 25.7775   7.07048   17.0021
V 15.1101   9.2363   18.748
V 34.5142   16.356   18.5062
V 30.2638   2.11237   4.55741
V 32.9507   8.09331   7.92238
V 31.1579   17.7636   0.0604264
V 38.0257   19.7528   4.89187
V 34.3999   4.62986   6.07416
V 26.2602   20.0101   10.1598
V 26.9095   16.5214   14.128
V 30.4675   14.0253   12.6899
V 38.9063   18.8139   12.2269
V 28.591   11.8873   19.9185
V 2.26052   19.0421   11.8718
V 21.7589   19.8929   10.1394
