V 26.7875   21.6349   10.586
V 42.4978   25.6561   0.436872
V 40.3159   16.2421   13.0446
V 31.0254   30.0406   18.2211
V 34.6651   29.9267   17.1609
V 9.08387   17.3029   4.80558
V 1.87937   15.5108   10.584
V 17.8511   21.0952   3.43487
V 23.2384   6.26023   14.8673
V 23.6409   14.6814   18.8818
V 34.5014   21.6182   20.9639
V 34.738   25.6303   13.4885
V 34.5606   33.8804   13.1814
V 38.4482   4.78714   13.4242
V 18.8994   10.4319   6.06133
V 27.7827   31.9616   6.64675
V 5.49369   11.3559   19.1641
V 28.1232   14.8082   11.0207
V 29.7248   17.5217   12.6352
V 2.04781   24.0196   10.2818
V 32.0077   1.74834   14.603
V 34.1666   33.8367   21.087
V 6.36019   23.578   6.46762
V 23.827   21.4754   7.43396
V 10.7793   6.55108   19.2062
V 34.8594   17.6599   21.3641
V 42.6203   17.6011   20.8938
V 20.3841   30.0789   19.2648
V 12.9277   3.92753   8.77509
V 36.5927   18.8482   10.9686
V 17.6517   33.9573   17.2964
V 26.2264   33.9151   16.8449
V 42.5544   34.2299   3.94272
V 28.3714   31.7701   14.6999
V 29.8901   30.0788   8.52582
V 36.8997   23.8933   6.11184
V 15.4697   18.9684   1.62733
V 2.02532   27.104   7.01267
V 16.9768   25.6291   0.0694656
V 25.4191   34.0266   4.33829
V 23.648   41.2612   2.72152
V 27.2914   6.6532   7.04248
V 31.967   11.1769   6.68272
V 30.1765   25.5801   12.9985
V 24.2533   27.867   10.0606
V 38.1058   30.0681   13.367
V 34.7945   8.52096   13.1833
V 10.6794   15.0445   10.8436
V 21.5985   25.7647   12.7751
V 19.4093   14.9882   14.8378
V 27.6285   23.5986   19.2524
V 21.3218   3.9688   17.1961
V 30.1785   21.4747   21.3551
V 8.32352   12.8736   8.52744
V 4.6229   25.8896   8.68563
V 12.9032   17.1385   13.0042
V 8.48221   7.98278   13.664
V 9.99512   36.8109   15.2959
V 27.7568   6.1138   19.3411
V 39.2638   25.75   3.73312
V 13.305   42.5428   4.22798
V 32.7509   18.9797   11.0501
V 31.7781   2.00216   19.2275
V 36.6253   1.77712   14.8223
V 4.28845   12.1876   8.09739
V 39.1368   21.113   3.69949
V 1.94992   18.8774   6.93145
V 8.70203   0.0882218   12.5355
V 1.70528   32.3161   11.0623
V 17.2011   33.9695   13.2702
V 19.4332   40.7373   10.8023
V 25.7857   38.2724   17.19
V 34.0429   29.8971   8.45019
V 32.1866   40.6451   6.81105
V 38.7382   12.8523   8.65725
V 12.5457   34.5969   8.61441
V 10.2853   36.6061   11.0623
V 16.999   38.5237   12.8593
V 10.8853   1.77712   6.24227
V 16.9046   4.15102   4.39811
V 21.5331   8.48953   4.28885
V 25.647   3.9261   8.74743
V 4.51362   14.0428   1.81002
V 31.9586   14.871   2.39305
V 25.779   17.2495   8.52697
V 15.054   19.3945   6.38197
V 32.2326   23.9117   6.39721
V 25.6483   25.4044   4.62254
V 23.474   31.7315   1.7754
V 16.7774   38.8728   4.45296
V 2.30319   6.77689   10.4404
V 10.609   14.7497   6.58497
V 27.4251   19.2329   14.9415
V 26.3855   25.1195   8.84334
V 6.24784   32.4091   6.60388
V 15.1918   28.0207   6.56544
V 23.8474   31.8133   6.62852
V 6.25657   6.35756   15.2763
V 21.489   8.66953   17.107
V 25.9168   13.0057   13.0004
V 21.2411   12.4166   8.51059
V 21.2628   21.6841   13.0389
V 16.9852   30.1528   8.61036
V 10.4161   1.9916   19.6284
V 19.1266   2.06756   19.5663
V 10.7392   19.1915   19.0501
V 15.4069   23.191   19.6089
V 25.9168   25.8757   17.2904
V 32.4995   15.1417   19.1895
V 25.5965   17.0535   21.4272
V 4.40198   8.77376   8.48584
V 21.5232   17.6233   12.8227
V 12.5975   8.69278   8.42697
V 38.5351   25.4102   8.48184
V 38.4665   38.5035   12.8472
V 6.45993   19.2049   19.3062
V 25.7109   17.1973   16.8345
V 36.2735   19.4011   2.12828
V 8.15884   38.6273   4.3409
V 25.7649   42.7999   12.8712
V 19.576   31.8518   14.9574
V 10.7244   40.5591   19.325
V 19.1298   36.5867   19.2592
V 6.48387   40.8234   6.35378
V 4.33887   0.0684404   12.7888
V 34.7665   12.3381   13.1309
V 23.5944   36.2691   10.745
V 27.7098   36.5867   10.6792
V 38.4348   38.7317   8.53424
V 31.9731   23.6183   19.2771
V 8.33364   0.155481   21.4095
V 0.678424   3.66493   3.97021
V 2.53643   2.05116   6.6077
V 30.1094   30.0964   0.0323557
V 2.24496   31.6443   19.8815
V 8.67275   34.2604   17.295
V 38.6894   4.35636   0.0323557
V 1.57749   11.0553   5.81535
V 16.9897   8.32254   0.183919
V 25.8672   12.8034   0.206277
V 6.56453   18.891   2.23738
V 15.1946   23.1769   5.95086
V 6.16661   31.823   1.81115
V 14.837   27.7255   2.23114
V 25.8128   4.23321   12.7556
V 17.2116   13.1878   4.58705
V 21.5192   8.54578   12.8521
V 30.1228   12.8104   13.005
